"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15"
"All Entities.NVACost","OUTPUT VALUE","NVA Cost","System","All Entities",84.7982584207597,83.4307718244066,83.3269139422511,83.1493492986496,83.3586997990617,84.357341657164,82.1061761128229,83.2836761574233,84.5956010635664,82.430040999074,84.6041734030056,83.7620871631529,84.1720815285338,84.6378865981595,84.2328806105083
"All Entities.OtherCost","OUTPUT VALUE","Other Cost","System","All Entities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All Entities.TotalCost","OUTPUT VALUE","Total Cost","System","All Entities",1372.20424444032,1435.18363410849,1348.07081272744,1327.06998224208,1458.97044281766,1413.32196093601,1376.25661225234,1170.89845524084,1376.58146761925,1487.74227165596,1465.82164528698,1403.45984695547,1566.36843116381,1458.72009311856,1436.02288335385
"All Entities.TranCost","OUTPUT VALUE","Tran Cost","System","All Entities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All Entities.VACost","OUTPUT VALUE","VA Cost","System","All Entities",443.659521614843,470.998649008882,472.800396359805,453.630528063098,470.792346521518,482.672439943148,439.240732047146,430.386141312367,473.687480065202,481.24331189384,479.167338977339,465.695542348401,489.722587244467,467.805681106692,478.845709106394
"All Entities.WaitCost","OUTPUT VALUE","Wait Cost","System","All Entities",843.746464404717,880.754213275197,791.943502425388,790.290104880329,904.819396497079,846.292179335698,854.909704092375,657.228637771048,818.298386490484,924.068918763041,902.050132906632,854.002217443919,992.473762390808,906.276525413708,872.944293636951
"All Resources.BusyCost","OUTPUT VALUE","Busy Cost","System","All Resources",65.4193784888992,67.9994755509321,67.9275532813216,66.0258518274029,67.9047841206466,67.8708089257833,64.8507201634528,61.8348360560431,67.7978630000413,69.2904095124488,68.2849557677747,67.0044711228296,69.7914559873484,67.8624761158405,68.9611281147032
"All Resources.IdleCost","OUTPUT VALUE","Idle Cost","System","All Resources",9.73295817180187,8.56950712477854,8.11225159950519,10.2417922374626,9.4163545657473,7.78063745615718,10.8720213904244,11.0228941155397,8.78303182250571,6.72136525056014,7.90091504106947,8.87838798067701,5.71804679362298,8.72346477277287,6.97451996929446
"All Resources.TotalCost","OUTPUT VALUE","Total Cost","System","All Resources",442.152336660701,467.568982675711,469.039804880827,452.267644064866,468.321138686394,478.65144638194,438.722741553877,430.857730171582,470.580894822547,476.011774763009,475.185870808844,462.882859103507,483.509502780971,464.585940888613,473.935648083997
"All Resources.UsageCost","OUTPUT VALUE","Usage Cost","System","All Resources",367,391,393,376,391,403,363,358,394,400,399,387,408,388,398
"Encargado.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Encargado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Encargado.IdleCost","OUTPUT VALUE","Idle Cost","Resource","Encargado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Encargado.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Encargado",38,38,40,39,41,35,34,34,40,38,43,39,38,38,38
"Encargado.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Encargado",0.963794619135747,0.965633804530357,0.96955189613708,0.954746914012445,0.9585015752756,0.960915188188615,0.958715958331184,0.970271109425157,0.965552536064068,0.96324647699575,0.964774904094871,0.96096938384709,0.962884371299924,0.966023679322316,0.969418070013633
"Encargado.UsageCost","OUTPUT VALUE","Usage Cost","Resource","Encargado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresador.BusyCost","OUTPUT VALUE","Busy Cost","Resource","Fresador",37.4671437531476,39.9972448598339,39.5761435949432,38.6822541189825,39.6252080029036,39.3387700578826,37.9667062789764,35.1710175210787,39.63205688387,39.8430079379713,39.6079440318809,38.9702374185698,39.7704375237276,39.8106833028373,39.6152699723044
